0.0000000000, -94.94099
12.2065429688, -87.24769
24.4130859375, -80.92408
36.6196289063, -83.22302
48.8261718750, -89.31098
61.0327148438, -90.94304
73.2392578125, -96.71408
85.4458007813, -98.61233
97.6523437500, -101.31628
109.8588867188, -102.19252
122.0654296875, -102.35822
134.2719726563, -101.05327
146.4785156250, -90.68736
158.6850585938, -93.13606
170.8916015625, -107.40865
183.0981445313, -108.10098
195.3046875000, -107.55862
207.5112304688, -106.30902
219.7177734375, -105.09953
231.9243164063, -101.27855
244.1308593750, -95.52106
256.3374023438, -95.36239
268.5439453125, -98.77200
280.7504882813, -101.61214
292.9570312500, -102.71987
305.1635742188, -101.93638
317.3701171875, -102.29193
329.5766601563, -107.59010
341.7832031250, -107.70781
353.9897460938, -106.15582
366.1962890625, -111.22237
378.4028320313, -111.96048
390.6093750000, -110.42235
402.8159179688, -110.76785
415.0224609375, -110.69693
427.2290039063, -107.21845
439.4355468750, -108.61108
451.6420898438, -109.57420
463.8486328125, -113.13839
476.0551757813, -113.86954
488.2617187500, -95.75103
500.4682617188, -88.97195
512.6748046875, -94.32890
524.8813476563, -115.90637
537.0878906250, -115.34913
549.2944335938, -112.96063
561.5009765625, -113.14316
573.7075195313, -116.82540
585.9140625000, -117.56631
598.1206054688, -113.24432
610.3271484375, -115.03503
622.5336914063, -117.13817
634.7402343750, -117.74623
646.9467773438, -117.46520
659.1533203125, -116.44793
671.3598632813, -117.03016
683.5664062500, -116.82748
695.7729492188, -116.83697
707.9794921875, -116.32434
720.1860351563, -116.94735
732.3925781250, -117.16366
744.5991210938, -115.61522
756.8056640625, -116.98507
769.0122070313, -116.43690
781.2187500000, -115.88794
793.4252929688, -115.35617
805.6318359375, -115.07095
817.8383789063, -116.79081
830.0449218750, -117.28546
842.2514648438, -112.31360
854.4580078125, -110.31213
866.6645507813, -117.04142
878.8710937500, -118.17076
891.0776367188, -118.46586
903.2841796875, -118.65432
915.4907226563, -117.79358
927.6972656250, -116.66375
939.9038085938, -115.76505
952.1103515625, -115.47709
964.3168945313, -117.26373
976.5234375000, -119.03541
988.7299804688, -116.90809
1000.9365234375, -114.89673
1013.1430664063, -116.72955
1025.3496093750, -118.37451
1037.5561523438, -118.03644
1049.7626953125, -115.05433
1061.9692382813, -118.05811
1074.1757812500, -119.28816
1086.3823242188, -119.62990
1098.5888671875, -119.06153
1110.7954101563, -119.85541
1123.0019531250, -118.49579
1135.2084960938, -117.93290
1147.4150390625, -115.32188
1159.6215820313, -117.56259
1171.8281250000, -119.16085
1184.0346679688, -119.57696
1196.2412109375, -119.74488
1208.4477539063, -120.08216
1220.6542968750, -119.66714
1232.8608398438, -118.39954
1245.0673828125, -117.82096
1257.2739257813, -119.07639
1269.4804687500, -121.01658
1281.6870117188, -119.71687
1293.8935546875, -116.83104
1306.1000976563, -118.07923
1318.3066406250, -119.37524
1330.5131835938, -119.76112
1342.7197265625, -118.28018
1354.9262695313, -118.34431
1367.1328125000, -120.49095
1379.3393554688, -120.59330
1391.5458984375, -121.77606
1403.7524414063, -120.53003
1415.9589843750, -120.49637
1428.1655273438, -120.90541
1440.3720703125, -117.83679
1452.5786132813, -115.98630
1464.7851562500, -119.73904
1476.9916992188, -120.52968
1489.1982421875, -113.68508
1501.4047851563, -106.82437
1513.6113281250, -111.08247
1525.8178710938, -120.54637
1538.0244140625, -119.64130
1550.2309570313, -118.25668
1562.4375000000, -120.08093
1574.6440429688, -121.12118
1586.8505859375, -120.57563
1599.0571289063, -119.97615
1611.2636718750, -120.76044
1623.4702148438, -121.61461
1635.6767578125, -120.80868
1647.8833007813, -117.77050
1660.0898437500, -119.81805
1672.2963867188, -121.40324
1684.5029296875, -122.23034
1696.7094726563, -121.70167
1708.9160156250, -121.40372
1721.1225585938, -121.47252
1733.3291015625, -121.41143
1745.5356445313, -117.21249
1757.7421875000, -117.82501
1769.9487304688, -121.26078
1782.1552734375, -121.84064
1794.3618164063, -120.88882
1806.5683593750, -120.87396
1818.7749023438, -121.52260
1830.9814453125, -121.52610
1843.1879882813, -121.26398
1855.3945312500, -121.78883
1867.6010742188, -122.20477
1879.8076171875, -121.89336
1892.0141601563, -122.51930
1904.2207031250, -123.02693
1916.4272460938, -121.71744
1928.6337890625, -121.43227
1940.8403320313, -121.83941
1953.0468750000, -121.14406
1965.2534179688, -122.02071
1977.4599609375, -122.64860
1989.6665039063, -122.31432
2001.8730468750, -121.32860
2014.0795898438, -121.48042
2026.2861328125, -122.03913
2038.4926757813, -121.89916
2050.6992187500, -121.37867
2062.9057617188, -122.52741
2075.1123046875, -122.59816
2087.3188476563, -122.26780
2099.5253906250, -122.99631
2111.7319335938, -122.57862
2123.9384765625, -121.97003
2136.1450195313, -122.10048
2148.3515625000, -121.60293
2160.5581054688, -123.22311
2172.7646484375, -123.34918
2184.9711914063, -123.63917
2197.1777343750, -123.69226
2209.3842773438, -122.95197
2221.5908203125, -121.82111
2233.7973632813, -122.32346
2246.0039062500, -122.13456
2258.2104492188, -123.44075
2270.4169921875, -122.78971
2282.6235351563, -121.43577
2294.8300781250, -121.88748
2307.0366210938, -122.74955
2319.2431640625, -118.96026
2331.4497070313, -116.09706
2343.6562500000, -120.98080
2355.8627929688, -122.50518
2368.0693359375, -122.80025
2380.2758789063, -121.73649
2392.4824218750, -121.54216
2404.6889648438, -121.86314
2416.8955078125, -122.75863
2429.1020507813, -122.58665
2441.3085937500, -121.53325
2453.5151367188, -122.78321
2465.7216796875, -123.70295
2477.9282226563, -123.29122
2490.1347656250, -122.07490
